Player,3P,2P,TS%,ORB%,DRB%,DBPM,BLK%,STL%,AST%,AST/TOV
Kirk Hinrich,0.7108883698466513,0.12857654410706065,0.4758327433180685,0.12973536975125716,0.3564311661163748,0.4084032683202359,0.33252524045474896,0.6237967628451657,0.7542593023643278,0.8008391644868141
Klay Thompson,0.9472352127637353,0.3596932121232608,0.8488024892021403,0.1539935288166978,0.35191321259020725,0.20880694015676426,0.48962464906769493,0.42496314945971936,0.42704366910538055,0.49134759342680484
Kobe Bryant,0.6685282648941508,0.7650836986306242,0.750680264190443,0.36229839905094396,0.504920774694167,0.35873665272376,0.4193260474135987,0.7015581406416633,0.7402716229855122,0.5865963788285349
Kosta Koufos,0.09297626683771648,0.5403407923863003,0.7202066445733516,0.8788734722975292,0.82308407046523,0.6904799475272195,0.7513535261475217,0.3522085126049764,0.09314525703923224,0.22719747747148186
Kris Humphries,0.3980555117066224,0.4458389127404049,0.46510140967150587,0.827416602700483,0.8812123584135196,0.5915085851064265,0.6471752098086749,0.3456409365557357,0.18743188991715198,0.30697204925346977
Kurt Nimphius,0.22018671831804912,0.38919804266077923,0.5791446408267754,0.6662946257986694,0.6067388295234485,0.6638161905952651,0.7043134858308906,0.19033012194349735,0.20579906231305042,0.4197989152654668
Kurt Rambis,0.09297626683771648,0.226800742122663,0.8504209999952999,0.8420381175519747,0.8265135813582456,0.8654870227120266,0.5321291257693237,0.7495037390868671,0.2477668040959093,0.3806881078254909
Kurt Thomas,0.26165214766690165,0.4405338618400963,0.5117669176988353,0.6714711906906863,0.8585614086447048,0.8345943474410482,0.631941365385148,0.4530032167988967,0.24722368803668518,0.4134177483449557
Kwame Brown,0.20162106621592052,0.25451326876227454,0.5446874463642121,0.730288334908545,0.7682370656027618,0.6654270231434742,0.6105565046305824,0.3758724363966666,0.20675180137273144,0.2727555030021055
Kyle Korver,0.9043379870518486,0.039434042081808396,0.9390403455410781,0.13133193562103782,0.474926127966544,0.38032706667238236,0.4425694092245511,0.4044794680317945,0.4041163120189334,0.6088568159267801
Kyle Lowry,0.7620103812907556,0.17752781977355042,0.7955376077835705,0.31750738663979206,0.4815660667298358,0.47161178220126343,0.3362493373617708,0.7625875056952,0.8254386688792433,0.8016849013172012
Kyle Macy,0.4733472568445755,0.4355830011961133,0.8013012222619218,0.2678648681729177,0.22574128777772234,0.35173895200708327,0.13930444760461302,0.7092256087063631,0.6815262089101581,0.8741452986827722
Kyle Singler,0.7001830974514446,0.05602204911501449,0.5510006219169916,0.4027727854334594,0.39980423507451923,0.34610448543989947,0.45611829657715197,0.40296005529646733,0.15266161780441814,0.4233673687424869
Kyrie Irving,0.8069091750225961,0.6501139857114208,0.8115722991134998,0.2570109439900409,0.3232061278559357,0.1905116057337034,0.36888806300332105,0.6737989129029904,0.8274644557276527,0.7053615530355235
LaMarcus Aldridge,0.3606220027962147,0.819510175727704,0.6533234336708034,0.7035584834928217,0.7398314600480866,0.6585985387549618,0.6307287332622185,0.33032005480814963,0.38385470462224114,0.46006158892898386
LaPhonso Ellis,0.47654251625822397,0.5175170461518595,0.43018760359629493,0.6769221292739924,0.6760464768168688,0.5788765098938548,0.5759581804802802,0.37972961486675316,0.36164415434961494,0.3673926884318201
LaSalle Thompson,0.23114022015958013,0.5115781114078676,0.6157625895785585,0.8402653908354405,0.8731815644231123,0.7667204363963921,0.655278402393168,0.540603723982577,0.23326480123360838,0.2558047804860617
Lamar Green,0.09297626683771648,0.3081085537275112,0.1735533124745497,0.18084730225204193,0.17188453306589238,0.46604137872975354,0.19316361531126733,0.11023025777623921,0.13693586789988327,0.05420141116100064
Lamar Odom,0.5333144615632807,0.36341557892952253,0.6355406249830071,0.5537915684921181,0.8295355316277675,0.8150532111683929,0.6012001772402955,0.41836539066848333,0.6311871297723607,0.591301507468454
Lamond Murray,0.5957478913529474,0.45357988443997693,0.4152323000415905,0.5098312825760831,0.5332238861681295,0.29654136329007713,0.4860869414381807,0.6522697922766876,0.3410586132559451,0.30799984062281627
Lance Stephenson,0.548849556237602,0.3119256368634604,0.5005099165297011,0.31654467347722015,0.6051106132420696,0.6762229905618219,0.2474069496789428,0.4414931108585699,0.6629331633362827,0.6309418104058764
Lance Thomas,0.4854887242422849,0.1818379314800611,0.3745921011840055,0.4692701533618876,0.41901076006465476,0.18085949927222428,0.26903153575074235,0.2967914031199216,0.17347995760302656,0.3824447400922749
Landry Fields,0.528428713779845,0.16299419868755305,0.684712465343385,0.45160626597274023,0.6425372365974138,0.6786616772329622,0.29744639817887364,0.6071769071852691,0.41649755210337075,0.575919702734025
Langston Galloway,0.8270665258892385,0.07798786377197871,0.3500958247066162,0.24295058832784316,0.4439571839213616,0.28216722846641606,0.28901664044425457,0.5674167917763149,0.5031844306225731,0.7974443387087367
Larry Bird*,0.518756157645338,0.8418180048997203,0.8225775027833881,0.5183640702544463,0.8420208392547487,0.8757004207105407,0.4819432632269598,0.7303064756449711,0.7479338295869031,0.6953968375200277
Larry Costello,0.09297626683771648,0.4862531104507477,0.4694986820414504,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.07330301506586494,0.05420141116100064
Larry Drew,0.4147302237726273,0.6380787728539116,0.4573692433622979,0.15695612311949847,0.19551447170760117,0.1321537974586508,0.11661802699514337,0.6790529159098171,0.8101856649158862,0.7654535619234719
Larry Foust,0.09297626683771648,0.6466471572998587,0.3059659428025409,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.020846696600384865,0.05420141116100064
Larry Hughes,0.565822915393128,0.44726349769133644,0.2607552730562999,0.35436543754860417,0.47086957957205716,0.43676966085895264,0.3842803644543954,0.8098942313985826,0.6096597629701808,0.5557388580320922
Larry Johnson,0.48271369085176447,0.5534481396722728,0.7435193816529909,0.6576413026752916,0.60566444772641,0.6598244315045008,0.34354330492116775,0.2771212405522276,0.5422167312915956,0.590357532134021
Larry Kenon,0.19658539633963173,0.8323851222729948,0.5738899582677461,0.7538971144927313,0.6606862862542512,0.41409456185606797,0.2749139346582018,0.6457552670821194,0.44163106356128834,0.29173297688440175
Larry Krystkowiak,0.2837228796699235,0.45827800135832586,0.5322027890758283,0.6432797750532517,0.6952949986356554,0.41628615905791144,0.23291882882349788,0.4369939272388449,0.27596130856311496,0.37717462178160055
Larry McNeill,0.09297626683771648,0.6697450371931373,0.6668556874023306,0.7553762623654124,0.7337104492249478,0.165908014078946,0.36192614239293586,0.49204704287806456,0.19929571061358925,0.13896941872008356
Larry Nance,0.28551740888812427,0.7572388984675222,0.8951399479274069,0.6953025948702996,0.7154447598303009,0.8540194892417352,0.7351930016455399,0.45767133259405846,0.44479200459447693,0.5587765739559439
Larry Siegfried,0.09297626683771648,0.5378751813890816,0.25176705558864554,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.6290915483556236,0.05420141116100064
Larry Smith,0.09297626683771648,0.242155732836287,0.6537543106598875,0.9663096979845333,0.8544283943614042,0.7441408804362833,0.46274354534645706,0.4557637058582254,0.13783597359348798,0.2778927538071188
Larry Steele,0.09297626683771648,0.41914206710269936,0.6409697724861458,0.32393920473136817,0.19946028639273827,0.6717201429856251,0.19812502294296241,0.8191566226048477,0.5659274411785725,0.15219298483125349
Larry Stewart,0.32921224444557023,0.43811348760031643,0.8196158566713004,0.7159379168640396,0.5336744829783047,0.5625909220945994,0.49999423214984945,0.4159874797468929,0.33628405122296257,0.37869938022606814
